time,open,high,low,close,tick_volume,spread,real_volume
1589396400,1711.49,1712.86,1707.52,1711.84,31735,53,15867500
1589400000,1711.84,1712.82,1709.25,1710.81,23516,53,11758000
1589403600,1710.85,1713.33,1709.17,1712.84,31031,53,15515500
1589407200,1712.84,1718.2,1712.21,1717.43,28210,53,14105000
1589410800,1717.42,1717.45,1713.15,1715.38,7495,53,3747500
1589414400,1715.26,1736.23,1710.85,1730.0,362527,0,0
1589418000,1715.26,1717.02,1712.46,1716.84,5775,53,2887500
1589421600,1716.84,1719.56,1716.05,1718.42,9927,53,4963500
1589425200,1718.4,1719.42,1716.18,1717.0,13839,53,6919500
1589428800,1717.0,1717.01,1711.77,1714.42,18322,53,9161000
1589432400,1714.42,1715.32,1712.83,1715.2,11272,53,5636000
1589436000,1715.17,1715.22,1712.46,1713.38,8254,53,4127000
1589439600,1713.4,1713.82,1710.87,1711.79,7893,53,3946500
1589443200,1711.74,1714.58,1711.68,1714.42,10667,53,5333500
1589446800,1714.38,1717.09,1714.29,1716.66,18123,53,9061500
1589450400,1716.69,1719.27,1713.22,1714.99,36421,53,18210500
1589454000,1715.0,1718.42,1713.73,1717.46,34993,53,17496500
1589457600,1717.48,1718.96,1715.85,1718.38,33572,53,16786000
1589461200,1718.38,1718.91,1714.83,1715.39,34393,53,17196500
1589464800,1715.39,1718.05,1713.05,1715.75,23169,53,11584500
1589468400,1715.77,1719.51,1710.95,1716.79,28766,53,14383000
1589472000,1716.74,1732.32,1713.64,1731.78,34511,53,17255500
1589475600,1731.89,1734.66,1728.32,1731.79,43699,53,21849500
1589479200,1731.82,1734.36,1728.65,1733.37,31958,53,15979000
1589482800,1733.37,1736.23,1730.93,1731.31,25754,53,12877000
1589486400,1731.26,1732.83,1728.61,1729.64,22738,53,11369000
1589490000,1729.64,1734.27,1728.59,1733.06,16753,53,8376500
1589493600,1733.08,1733.73,1728.83,1732.77,19800,53,9900000
1589497200,1732.74,1732.75,1729.34,1730.0,4729,53,2364500
1589500800,1728.71,1751.61,1728.31,1743.41,416607,0,0
1589504400,1728.71,1731.96,1728.65,1730.24,4492,53,2246000
1589508000,1730.25,1734.03,1729.99,1732.65,5236,53,2618000
1589511600,1732.65,1732.65,1728.95,1728.96,8592,53,4296000
1589515200,1728.96,1734.18,1728.32,1732.5,12334,53,6167000
1589518800,1732.53,1734.14,1731.41,1732.45,9404,53,4702000
1589522400,1732.44,1734.05,1731.48,1731.96,5511,53,2755500
1589526000,1731.97,1732.04,1729.92,1730.79,5167,53,2583500
1589529600,1730.79,1734.88,1730.04,1734.34,9147,53,4573500
1589533200,1734.4,1738.34,1733.68,1735.29,18929,53,9464500
1589536800,1735.3,1738.57,1733.55,1737.49,25370,53,12685000
1589540400,1737.37,1737.37,1733.09,1735.2,20399,53,10199500
1589544000,1735.2,1737.15,1733.9,1734.2,33019,53,16509500
1589547600,1734.2,1736.17,1729.88,1732.69,41681,53,20840500
1589551200,1732.67,1736.03,1730.53,1732.06,31313,53,15656500
1589554800,1732.06,1745.12,1731.85,1742.76,32113,53,16056500
1589558400,1742.78,1744.91,1737.33,1739.49,37949,53,18974500
1589562000,1739.6,1742.95,1733.47,1742.68,40049,53,20024500
1589565600,1742.7,1748.94,1741.31,1748.61,36330,53,18165000
1589569200,1748.61,1750.22,1745.63,1748.75,28727,53,14363500
1589572800,1748.76,1751.57,1746.24,1748.09,23928,53,11964000
1589576400,1748.12,1748.61,1739.74,1743.64,22537,53,11268500
1589580000,1743.64,1745.34,1742.09,1744.01,16198,53,8099000
1589583600,1744.01,1744.27,1740.27,1743.41,5044,27,2522000
1589760000,1744.37,1765.04,1727.4,1732.0,418195,0,0
1589763600,1744.37,1752.04,1741.66,1745.94,14889,53,7444500
1589767200,1746.04,1759.8,1745.81,1758.09,12632,53,6316000
1589770800,1758.09,1759.73,1753.46,1754.77,10093,53,5046500
1589774400,1754.76,1758.83,1753.76,1758.65,19180,53,9590000
1589778000,1758.69,1763.66,1757.62,1761.04,14410,53,7205000
1589781600,1761.03,1762.08,1759.53,1760.88,7479,53,3739500
1589785200,1760.88,1761.3,1758.49,1760.31,7376,53,3688000
1589788800,1760.26,1764.72,1758.85,1763.96,8174,53,4087000
1589792400,1763.97,1764.35,1760.03,1762.63,14786,53,7393000
1589796000,1762.62,1763.04,1758.88,1761.9,17212,53,8606000
1589799600,1761.9,1765.04,1760.57,1761.75,15850,53,7925000
1589803200,1761.62,1763.44,1758.32,1763.15,17718,53,8859000
1589806800,1763.15,1764.66,1761.58,1762.12,13588,53,6794000
1589810400,1762.11,1764.85,1760.28,1763.85,22069,53,11034500
1589814000,1763.78,1764.57,1748.07,1748.74,42289,53,21144500
1589817600,1748.85,1751.66,1731.92,1735.17,51885,53,25942500
1589821200,1735.17,1743.76,1732.22,1742.51,41037,53,20518500
1589824800,1742.5,1742.51,1727.4,1734.42,40590,53,20295000
1589828400,1734.42,1735.69,1727.55,1730.91,29303,53,14651500
1589832000,1730.91,1732.29,1728.04,1731.98,22024,53,11012000
1589835600,1732.0,1734.92,1730.73,1732.16,16631,53,8315500
1589839200,1732.17,1734.93,1729.46,1731.49,16151,53,8075500
1589842800,1731.47,1733.67,1729.79,1732.0,4409,53,2204500
1589846400,1731.24,1747.8,1725.31,1743.86,412872,0,0
1589850000,1731.24,1735.77,1731.24,1733.71,6337,53,3168500
1589853600,1733.71,1734.9,1732.83,1734.66,4660,53,2330000
1589857200,1734.66,1737.47,1733.61,1736.89,7928,53,3964000
1589860800,1736.91,1740.17,1734.53,1739.82,13361,53,6680500
1589864400,1739.82,1740.09,1736.89,1737.1,7543,53,3771500
1589868000,1737.14,1738.35,1735.77,1737.08,8174,53,4087000
1589871600,1737.11,1738.75,1735.21,1735.32,5655,53,2827500
1589875200,1735.34,1738.05,1734.82,1736.69,7438,53,3719000
1589878800,1736.66,1737.2,1725.31,1728.85,21173,53,10586500
1589882400,1728.85,1733.57,1726.2,1731.48,39035,53,19517500
1589886000,1731.47,1737.51,1729.91,1736.47,39202,53,19601000
1589889600,1736.45,1738.66,1734.22,1735.25,31698,53,15849000
1589893200,1735.26,1736.0,1733.76,1734.85,24756,53,12378000
1589896800,1734.85,1735.86,1731.14,1735.77,23679,53,11839500
1589900400,1735.71,1736.01,1730.76,1735.22,39494,53,19747000
1589904000,1735.22,1741.13,1733.05,1738.3,45152,53,22576000
1589907600,1738.29,1745.63,1733.79,1743.77,37452,53,18726000
1589911200,1743.77,1743.77,1737.36,1740.73,29842,53,14921000
1589914800,1740.73,1742.42,1739.4,1742.04,22374,53,11187000
1589918400,1742.05,1743.37,1740.45,1742.84,17869,53,8934500
1589922000,1742.83,1745.9,1742.66,1745.48,13783,53,6891500
1589925600,1745.48,1747.8,1743.45,1746.2,17558,53,8779000
1589929200,1746.19,1747.01,1743.58,1743.86,5581,53,2790500
1589932800,1742.57,1753.82,1741.72,1747.07,346594,0,0
1589936400,1742.6,1746.27,1741.69,1743.94,4677,53,2338500
1589940000,1743.93,1745.99,1743.6,1745.95,3479,53,1739500
1589943600,1745.95,1745.98,1744.07,1744.8,4733,53,2366500
1589947200,1744.77,1750.96,1744.72,1749.8,13303,53,6651500
1589950800,1749.81,1750.55,1746.57,1748.21,9458,53,4729000
1589954400,1748.18,1749.97,1747.5,1749.2,6447,53,3223500
1589958000,1749.2,1749.36,1746.28,1746.9,5342,53,2671000
1589961600,1746.9,1749.05,1746.42,1748.04,6720,53,3360000
1589965200,1748.12,1750.44,1745.92,1749.5,12962,53,6481000
1589968800,1749.5,1752.94,1747.69,1749.31,26664,53,13332000
1589972400,1749.3,1750.01,1747.63,1748.49,19256,53,9628000
1589976000,1748.49,1750.27,1746.49,1749.1,21353,53,10676500
1589979600,1749.08,1752.14,1747.85,1750.51,23282,53,11641000
1589983200,1750.46,1751.45,1747.23,1751.26,24600,53,12300000
1589986800,1751.26,1753.23,1742.21,1747.23,30620,53,15310000
1589990400,1747.21,1752.15,1745.31,1749.72,37577,53,18788500
1589994000,1749.7,1751.37,1742.61,1747.04,35874,53,17937000
1589997600,1747.07,1750.76,1744.19,1747.42,32156,53,16078000
1590001200,1747.43,1750.49,1746.06,1747.62,23950,53,11975000
1590004800,1747.59,1750.97,1746.04,1749.06,23211,53,11605500
1590008400,1749.06,1753.82,1748.2,1750.98,21855,53,10927500
1590012000,1750.97,1750.97,1747.96,1749.43,13451,53,6725500
1590015600,1749.45,1750.25,1745.59,1747.07,4624,53,2312000
1590019200,1745.71,1748.69,1717.0,1727.06,339913,0,0
1590022800,1745.59,1747.99,1743.74,1746.79,3471,53,1735500
1590026400,1746.79,1748.66,1746.45,1747.41,4139,53,2069500
1590030000,1747.41,1747.41,1745.05,1745.23,6548,53,3274000
1590033600,1745.23,1745.74,1742.24,1743.83,11130,53,5565000
1590037200,1743.85,1745.31,1737.74,1740.27,12437,53,6218500
1590040800,1740.23,1742.56,1739.58,1741.12,7885,53,3942500
1590044400,1741.14,1742.94,1740.39,1742.08,4345,53,2172500
1590048000,1742.05,1743.71,1739.7,1741.33,7360,53,3680000
